,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Transmission Wires Down 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T-Line Area,kV,SAP Functional Location,LINE NO,T-LINE NAME,Fire Index Area (FIA),Location(s) of ET-Wire Down,High Fire Threat District (HFTD),YEAR,Date Out,Major Event Day,Red Flag Day,Failure during Red Flag Warning (RFW) Hours?,Auto Reclose Disabled,Duration (hr:min),Date In,Cause Category,Cause Details,Comments,Event Report,TOTL Reference Number,Customers Affected,Customers Experiencing Sustained Outage,Customer Outage Minutes,SAIFI Contribution,SAIDI Contribution,CAIDI,System Customer Count,Fault Type,Fault Location,Ignition
NORTH,60,ETL.7780,60390,PHILO JCT-ELK,0; 140; 154,"021/005, 021/011, 022/000",Tier 2 - Elevated,2015,02/08/2015 21:00,YES,No,NO,No,12:10,02/09/2015 09:10,Tree,Tree failure,"Relayed - 02/08/15, 2100 PhiloJct-Philo section of PhiloJct- Elk 60 kV relayed, tested OK; MOM Philo (2,163); on the trouble Philo-Elk remained de-energized; wind & rain; A-B fault 15.5 mi from Elk or 2.5 mi from Philo Tap twd Elk near pole 21/5, +/- 1.0 mi; 02/09/15, 02/09/15, 0230 Philo-GreenwoodRoad section cleared to repair 3 phases of ET wire down at pole 21/11 and one phase of downed conductor at pole 22/0; 0909 Philo-Elk section manually tested OK; 0910 Elk restored; eventID=10909",10909,FU-2015-016,"2,163",0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
CENTRAL,60,ETL.7550,60151,MENDOCINO-WILLITS-FORT BRAGG,0; 140; 154,"031/003-004, 019/000",Tier 2 - Elevated,2015,02/08/2015 21:18,YES,No,NO,No,43:36,02/10/2015 16:54,Tree,Tree failure,"Relayed - 02/08/15, 2118 Mendo-Willits-FtBragg relayed, tested NG; SUS FtBragg (8,273) & BigRiver (2,699); wind & rain; A-G 19.4 mi from Mendo near pole 19/5, +/- 1.0 mi; 02/09/15, 0420 EastHill-McGuireMill cleared to remove tree limb & 100' fir tree, caused 3 phases of ET wire down at pole 19/0 w/ under build trouble; 1638 McGuireMillJct-FtBragg section cleared to repair ET wire down bet poles 31/3-4 (canyon); 02/10/15, 1654 Mendo-W-FB (McGuireMillJct-FtBragg) returned to service; eventID=10901",10901,FU-2015-013,"6,971","6,971","8,623,205",0.0013,1.583,"1,237","5,446,629",NA,NA,No
CENTRAL,115,ETL.3980,10474,TESLA-SCHULTE SW STA #1,0,"002/002 & 002/003, 000/003",Non-HFTD,2015,02/08/2015 22:51,YES,No,NO,No,21:04,02/09/2015 19:55,Equipment Failure,Structure-line,"Relayed - 02/08/15, 2251  Tesla-SchulteSwSta #1-115kV relayed, tested NG; SUS AEC Site 300; wind & rain; PG&E phase B-G on initial fault & 3-Phase on NG line test, 6.6 mi from Tesla near pole 0/3 on AEC 115kV tap (accuracy of loc=high); reports of 2 broken poles, 2/2 & 2/3 w/ 3 phases of ET wire down on AEC Site #115kV Tap beyond SW-145; 02/09/15, 0606 line restored to service after AEC Site #2-115kV Tap SW-145 was opened to isolate trouble; 1955 AEC Site #2 Tap returned to normal restoring  AEC Site 300 after crews made repairs to poles 2/2 & 2/3; eventID=10903",10903,TE-2015-008,1,0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
NORTH,60,ETL.7780,60390,PHILO JCT-ELK,0; 140; 154,"018/009 & 018/011, 008/004",Tier 2 - Elevated,2015,02/09/2015 14:24,No,No,NO,No,10:38,02/10/2015 01:02,Tree,Tree failure,"Relayed - 02/09/15, 1424 PhiloJct-Elk relayed, tested NG; Elk-Gualala & FtBragg-Elk de-energized on the trouble; SUS Elk, BigRiver, FortBragg, & Philo; MOM PtArena & Garcia; high winds; A-B-C 18.5 mi from PhiloJct twd Philo Tap near pole 8/4, +/- 1.0 mi; 1700 PhiloJct-Philo section cleared to repair 3 spans of ET wire down between poles 18/9 & 18/11 due to tree contact; 2308 Philo restored; 2355 Philo-Elk section returned to service; 02/10/15, 0043 Elk restored; 0052 FtBragg-Elk energized restoring FtBragg & Big River; 0102 line returned normal; eventID=10910",10910,FU-2015-018,"5,788","5,788","4,281,786",0.0011,0.786,740,"5,446,629",NA,NA,No
SOUTH,115,ETL.1930,10119,KERN-KERN FRONT,0,011/167,Non-HFTD,2015,02/10/2015 04:02,No,No,NO,No,14:59,02/10/2015 19:01,Equipment Failure,Insulator-line,"Relayed - 02/10/15, 0402 Kern-KernFront 115kV relayed, tested NG; KERN CB-272 WAS SLOW TO OPEN so TROUBLE BACKED UP INTO KERN PP 115KV BUS CAUSING #1 BUS SECTs D & E & #2 BUS SECT D TO CLEAR FAULT (see eventID=10664 for similar operation of CB on 10/24/14); Kern 115kV bus #1 sect D & E, bus #2 section D, Lamont #1 & #2-115kV bus, Kern #1-115/60kV xfmr, Kern #6 & #7-115/21kV xfmrs, 7thStandard-Kern, Kern-Tevis-Stockdale, Kern-Tevis-Stockdale-Lamont, AdobeSwSta-Lamont, Kern-Westpark #2, Lamont-Grimmway-Malaga, Westpark-Magunden 115kV lines, Kern 70kV bus #1, Kern-OldRiver #1 & Kern-Fruitvale 70kV lines de-energized on the trouble; SUS KernFront cogen, DoubleC cogen, HighSierra cogen, BadgerCreek cogen, Westpark #2 & #3-115/12kV xfmrs, BearMtn cogen & CalWater; MOM 7thStandard, Tevis, Stockdale #1 & #4-115/12kV xfmrs, ArvinEdison, Lamont, Grimmway-Malaga, Regulus PV Solar, Adobe PV, Columbus & BolthouseFarms; weather clear; 0444 Kern-Westpark #2-115kV energized restoring Westpark #2 & #3-115/12kV xfmrs.  0511 Westpark to Columbus section energized restoring Bear Mountain cogen & CalWater; 0854 Kern-KernFront cleared to repair broken & flashed insulators at pole 11/167; 1901 Kern-KernFront returned to service restoring KernFront cogen, DoubleC cogen, HighSierra cogen & BadgerCreek cogen; eventID=10902",10902,MD-2015-004,4,0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
NORTH,60,ETL.6280,60016,CARIBOU #2,285,016/017,Tier 2 - Elevated,2015,02/15/2015 17:37,No,No,NO,No,31:58,02/17/2015 01:35,Tree,Tree failure,"Relayed - 02/15/15, 1737 Caribou #2-60kV relayed, tested NG; SUS GraysFlat, SpanishCreek & Gansner; weather clear; 1757 Gansner restored; 1845 GraysFlat & SpanishCreek restored; 2317 Caribou-GraysFlat cleared to repair 2 phases of ET wire down due to tree in line at structure 16/17 (60kV into 4kV); ETOR 02/16/15; 02/17/15, 0135 line returned to service; eventID=10927",10927,TM-2015-021,"2,745","2,745","242,141",0.0005,0.044,88,"5,446,629",NA,NA,No
NORTH,60,ETL.7850,60184,RIO DELL JCT-BRIDGEVILLE,0; 100; 105; 120,037/006-007,Non-HFTD,2015,02/23/2015 07:19,No,No,NO,No,11:00,02/23/2015 18:19,Tree,Tree failure,"Relayed - 02/23/15, 0719 RioDellJct-Bridgeville relayed, tested NG; SUS Humboldt Redwood & Carlotta; windy; C-G fault, 2.9 mi from Bridgeville near pole 37/7, +/- 0.3 mi; 0902 RioDellJct-CarlottaJct manually tested OK, restoring Carlotta & Humboldt Redwood; 1645 Bridgeville-Carlotta tested OK; 1717 line returned normal, however, 1727 RioDellJct CB-22 forced out to add SF6 gas; 1819 CB-22 returned &  line returned normal; repaired ET wire down bet poles 37/6-7 after tree fell into line, & added SF6 gas to CB-22; eventID=10926",10926,HM-2015-006,"1,126","1,126","115,978",0.0002,0.021,103,"5,446,629",NA,NA,No
NORTH,115,ETL.2170,10143,MADISON-VACA,0; 177,047/290,Tier 2 - Elevated,2015,02/28/2015 06:13,No,No,NO,No,14:45,02/28/2015 20:58,External Contact,Foreign object,"Relayed - 02/28/15, 0613  Madison-Vaca relayed tested NG; SUS Madison; weather clear; no SCADA switching at Madison; A-G fault, 6.5 mi from Vaca, +/- 2 mi; 0755 Madison restored via RioOso-Woodland #1; 2058 line returned to svc, repaired ET wire down at tower 47/290; per TLine specialist, appears that there was contact by a bird streamer or nesting material; eventID=10941",10941,VD-2015-018,"4,111","4,111","408,928",0.0008,0.075,99,"5,446,629",NA,NA,No
SOUTH,70,ETL.8480,70006,ATASCADERO-CAYUCOS,0; 508; 575,008/073-074,Tier 2 - Elevated,2015,03/07/2015 09:11,No,No,NO,No,8:41,03/07/2015 17:52,Equipment Failure,Conductor,"Relayed - 03/07/15, 0911 Atascadero-Cayucos relayed, tested NG; no customer interruption, although wire came down across 12kV underbuild de-energizing customers; 1112 to 1752 line cleared to repair ET wire down (failed mid-span between poles 8/73-74, apparent corrosion just outside armor rod -sent to Asset Strategy for analysis; CAUSED 5285 FUSES TO BLOW & sustained outage to 42 customers on Cayucos 1102 (CAIDI-246 minutes); eventID=",10969,DW-2015-005,42,42,"10,332",0.0000,0.002,246,"5,446,629",NA,NA,No
NORTH,60,ETL.6280,60016,CARIBOU #2,285,"019/011 or 001/015, 019/014-015",Tier 2 - Elevated,2015,03/14/2015 05:26,No,No,NO,No,8:17,03/14/2015 13:43,Tree,Tree failure,"Relayed - 03/14/15, 0526 Caribou #2-60kV relayed, tested NG; SUS SpanishCreek (906, 146,772), GraysFlat (123, 15,990) & Gansner (1,717, 104,737); rain; 0627 Gansner restored via distribution switching; 0736 Caribou-GraysFlat tested OK restoring GraysFlat; 0808 SpanishCreek-BlackHawk tested OK restoring SpanishCreek; ABC fault 19.3 miles from Caribou near pole 19/11 or 1/15 (patrol should start at Grays Flat out twd Spanish Creek or Elizabethtown), +/- 1 mi; 1026 to 1343 GraysFlat-SpanishCreek cleared to remove tree & replace 1 span of 3 phase conductor bet poles 19/14-15; eventID=10974",10974,TM-2015-024,"2,746","2,746","267,499",0.0005,0.049,97,"5,446,629",NA,NA,No
NORTH,115,ETL.4393,10459,DRUM-HIGGINS,300; 330; 350,023/180,Tier 2 - Elevated,2015,03/29/2015 10:28,No,No,NO,No,10:06,03/29/2015 20:34,Tree,Tree failure,"Relayed, tested NG; SUS Chicago Park PH (off-line); DutchFlat #1 PH separated; weather clear; 1432 to 2034 ChicagoPark-Higgins cleared to repair ET wire down at twr 23/180 -pine tree outside ROW failed",11017,VD-2015-022,0,0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
CENTRAL,60,ETL.8330,60234,WEBER-MORMON JCT,0,000/004-000/008,Non-HFTD,2015,03/30/2015 08:28,No,No,NO,No,21:12,03/31/2015 05:40,External Contact,Car pole,"Relayed -- 03/30/15, 0828 Bellota-Weber relayed, tested NG after carpole on Weber-MormonJct & failure of Weber CB-12 to clear fault; Weber-Tesla open ended momentarily at Weber; StocktonA-Weber #1, 2 & 3, Weber-MormonJct & Weber #1 de-energized; MOM multiple subs in area & SUS Mormon sub & Weber 1102; ET wire down outside Mormon (carpole) & Weber subs (CB-12); eventID=11014 & 11016",11014,TE-2015-012,"4,234","2,022",TBD,TBD,TBD,TBD,"5,446,629",NA,NA,No
SOUTH,70,ETL.9270,70087,WEEDPATCH-SAN BERNARD,0,006/111,Non-HFTD,2015,04/07/2015 16:38,No,No,NO,No,11:30,04/08/2015 04:08,Equipment Failure,Structure-line,"Relayed - 04/07/15, 1638 Weedpatch-SanBernard relayed, tested NG; SUS Arvin (574, 18,942); Orion separated; rain; electromech relays at SanBernard CB32 so no fault data; Weedpatch CB42 is N.O. summer setup; 1711 Weedpatch-Orion tested OK, restoring Arvin; 1812 Orion restored; patrol in progress; fault info from remote Wheeler CB42: 2.5 MI FROM SAN BERNARD CB32 TOWARDS ORION PV TAP; 2009 SanBernard-OrionJct cleared to replace pole fire at 6/111 w/ ET wire fallen into 12kV u-build; 2011 Orion paralleled; 04/08/15, 0408 line returned normal; eventID=11063",11063,MD-2015-017,619,619,"22,346",0.0001,0.004,36,"5,446,629",NA,NA,No
SOUTH,115,ETL.1923,10488,OLIVE SW STA-SMYRNA,0,"057/434, 057/436-437",Non-HFTD,2015,04/12/2015 09:31,No,No,NO,No,10:41,04/12/2015 20:12,Equipment Failure,Conductor,"Relayed - 04/12/15, 0931 OliveSwSta-Smyrna relayed, tested NG; Corcoran-OliveSS & Olive-WhiteRiver de-energized; SUS Atwell, WhiteRiver PV, WhiteRiver West, Alpaugh, Alpaugh-N & Quebec; weather clear; 0942 Corcoran-OliveSS energized from Corcoran restoring Quebec, Alpaugh & Alpaugh-N; FIRST FAULT: A-G FAULT, THEN A-C -G  WHEN LINE TESTED AFTER  15 secs, 10 MILES FROM SMYRNA TWD OLIVE SS, 1. 5 MI FROM OLIVE SS TWD ATWELL PV JCT TAP (near pole 57/434 on OliveSS-Smyrna, +/- 1 mile); 1205  OliveSS-WhiteRiver energized restoring WhiteRiver PV & WhiteRiver West; 1246 Smyrna CB112 closed to open AtwellJct SW197 energizing Atwell; 1336 OliveSS-AtwellJct cleared to repair ET wire down bet twrs 57/436-437; 1348  OliveSS 115kV bus returned normal; 2012 line returned normal; eventID=11037",11037,FR-2015-017,338,338,"3,718",0.0001,0.001,11,"5,446,629",NA,NA,No
CENTRAL,60,ETL.7460,60141,MANTECA #1,0,002/041-042,Non-HFTD,2015,04/21/2015 12:39,No,No,NO,No,8:25,04/21/2015 21:04,Equipment Failure,Connector/ hardware,"Forced - 04/21/15, 1239 Manteca #1 forced out due to single-phase condition; SUS Banta Carbona & Westley; 1422 PattersonJct-MantecaJct energized, restoring Banta Carbona & Westley; 1422 MantecaJct-LeeJct cleared to repair ET wire down bet poles 2/41-42 (failed splice); 1649 Manteca-LeeJct manually tested OK; 2104 line returned to service; eventID=11061",11061,TE-2015-021,"1,593","1,593","184,381",0.0003,0.034,116,"5,446,629",NA,NA,No
NORTH,60,ETL.6921,60087A,ELK CREEK TAP,0; 245; 246,003/072,Non-HFTD,2015,05/07/2015 03:25,No,No,NO,No,6:35,05/07/2015 10:00,Equipment Failure,Connector/ hardware,"Relayed - 05/07/15, 0325 ElkCreek tap de-energized; SUS StonyGorge PH (offline) & ElkCreek; 0653 ElkCreekJct-ClarkValleyRd cleared to repair ET wire down at pole 3/72 due to compression splice failure; eventID=11098",11098,TM-2015-041,908,908,"366,832",0.0002,0.067,404,"5,446,629",NA,NA,No
SOUTH,70,ETL.8540,70110,CARNERAS-TAFT,0,"124/038, 022/350",Non-HFTD,2015,05/07/2015 23:50,No,No,NO,No,12:25,05/08/2015 12:15,Equipment Failure,Conductor,"Relayed - 05/07/15, 2350 Carneras-Taft relayed, tested NG; SUS McKittrick, MidwayPipeline-S & Celeron; wind; A-B fault 19.5 mi from Taft twds Carneras near 124/38 (SWS 29 & 47), +/- 2 mi; 05/08, 0127 Taft-McKittrickJct tested OK from Taft restoring McKittick & MPS;  0216 Caneras-TemblerJct tested OK restoring Celeron; 1215 line normal, replaced bunt pole 22/350, ET wire down across Temblor 1104 under build; eventID=11101",11101,MD-2015-022,153,153,"14,841",0.0000,0.003,97,"5,446,629",NA,NA,No
SOUTH,115,ETL.2120,10138,LERDO-FAMOSO,0,005/045 & 005/046,Non-HFTD,2015,05/27/2015 21:34,No,No,NO,No,18:23,05/28/2015 15:57,External Contact,Car pole,"Relayed - 05/27/15, 2134 Lerdo-Famoso relayed, tested NG; SUS CaweloC, Famoso, UltraPwr cogen (offline); MtPoso cogen separated; weather clear; replaced downed poles 05/45 & 05/46 caused by tractor (ET wire down); eventID=11147",11147,MD-2015-0427,615,615,"36,900",0.0001,0.007,60,"5,446,629",NA,NA,No
NORTH,115,ETL.4395,10398,BELL-PLACER,300,004/030-031,Tier 2 - Elevated,2015,06/05/2015 19:38,No,No,NO,No,22:20,06/06/2015 17:58,Weather,Lightning,"Relayed - 06/05/15, 1938 Bell-Placer relayed, tested NG; no customer interruption; A-B-C fault 0.77 mi from Placer (GIS shows lightning) near structure 004/031, +/- 0.5 mi; replaced ET wire down & NG top phase insl on pole 4/30",11176,VD-2015-057,0,0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
SOUTH,70,ETL.9340,70094,WISHON-SAN JOAQUIN #3,424; 427,"005/003, 005/015, 006/002-003",Tier 2 - Elevated,2015,06/18/2015 20:48,No,No,NO,No,67:42,06/21/2015 16:30,Disaster,Fire,"Relayed - 06/18/15, 2048 Wishon-SJ#3 relayed, tested NG; SUS SJPH2 (offline), SJPH3 (offline) & CraneValley PH (offline); weather clear, Corrine fire; replaced damaged insulators at pole 5/3, replaced pole 5/15, repaired ET wire down, replaced insulators & reframed pole 6/3 & re-sagged conductor at pole 6/2",11198,FR-2015-034,"2,907","2,907","537,088",0.0005,0.099,185,"5,446,629",NA,NA,No
SOUTH,70,ETL.8610,70019,DINUBA-OROSI,0,014/005 & 014/006 ,Non-HFTD,2015,07/05/2015 12:28,No,216; 243; 249; 255,NO,No,16:24,07/06/2015 04:52,External Contact,Car pole,"Relayed - 07/05/15, 1228 Dinuba-Orosi 70kV relayed, tested NG; MOM StoneCorral (1,913); 1230 Dinuba-StoneCorral manually tested NG; 1232 Orosi-StoneCorral manually tested OK restoring StoneCorral; weather clear; 1441 Dinuba-StoneCorralJct cleared to replace poles 14/5 & 14/6 due to car pole; 07/06/15, 0452 Dinuba-Orosi returned to service after crew replaced poles & downed conductor; eventID=11233",11233,FR-2015-043,"1,913",0,0,0.0000,0.000,0,"5,446,629",NA,NA,No
